,Date,Start Time,Players,Win/Fail,Win Time,Completed,Happy,May give 5 star reviews,Picture,Game Master,Notes,
,8/3,3:00 PM,4,W,59,100%,Y,Y,Y,Jack,,
,8/2,7:00 PM,4,F,,80%,Y,Y,N,Beri,,
,7/30,7:00 PM,7,W,59,100%,Y,Y,Y,Mat,,
,7/28,7:00 PM,4,F,,90%,Y,Y,Y,Jack,,
,7/28,1:00 PM,10,W,57,100%,Y,Y,Y,Mat,,
,7/27,7:00 PM,5,W,60,100%,Y,Y,N,Mat,,
,7/27,3:00 PM,6,F,,70%,N,N,N,Jack,,
,7/26,7:00 PM,12,F,,80%,Y,Y,N,Mat,Intermediary door opened by messing With handprint enough,
,7/25,5:00 PM,6,F,,85,y,y,n,nate,,
,7/21,5:00 PM,6,F,,80%,Y,Y,Y,Jack,,
,7/21,3:00 PM,5,W,60,100%,Y,Y,Y,Cordelia,,
,7/21,1:00 PM,5,W,53,100%,Y,Y,Y,Cordelia,,
,7/20,9:00 PM,6,F,,95%,Y,Y,Y,Jack,,
,7/20,5:00 PM,8,W,49,100%,Y,Y,Y,Jack/Mat,,
,7/20,3:00 PM,9,W,32,100%,Y,Y,Y,Cordelia/Mat,,
,7/17,7:00 PM,7,W,58,90%,Y,Y,N,Mat,"Slid the document out oF the brieFcase, guessed chem puzzle",
,7/14,3:00 PM,10,F,,90%,Y,Y,N,Beri,,
,7/9,7:00 PM,7,F,,90%,Y,Y,Y,Cordelia,,
,7/7,9:00 PM,5,F,,70%,Y,Y,Y,Jack,,
,7/7,1:00 PM,6,W,55,100%,Y,Y,Y,Emily,,
,7/7,11:00 AM,7,F,,90%,Y,Y,Y,Emily,,
,7/5,9:00 PM,8,F,,80%,Y,Y,Y,Emily,,
,7/5,3:00 PM,6,F,,90%,Y,Y,Y,Cordelia,,
,7/4,3:00 PM,4,W,60,100%,Y,Y,Y,Cordelia,,
,6/30,9:00 PM,4,F,,40%,Y,Y,Y,Jack,,
,6/29,11:00 AM,5,,,,,,,Cordelia,,
,6/28,7:00 PM,12,F,,95,Y,Y,Y,Emily,,
,6/26,3:00 PM,9,F,,70,y,y,n,nate,broke hinges on cabinet doors,
,6/25,1:00 PM,11,W,58,100%,Y,Y,Y,Jack,,
,6/22,9:00 PM,8,F,,98%,Y,Y,N,Beri,,
,6/22,7:00 PM,3,F,,70%,Y,Y,N,Beri/Jack,,
,6/21,3:00 PM,8,F,,80%,Y,Y,Y,Jack,,
,6/20,4:00 PM,6,F,,70%,Y,Y,Y,Beri,,
,6/18,4:00 PM,9,,,,,,,Cordelia,,
,6/16,7:00 PM,4,W,57,100%,Y,Y,Y,Cordelia,,
,6/15,7:00 PM,4,W,57,100%,Y,Y,Y,Emily,,
,6/15,5:00 PM,6,F,,80%,Y,Y,Y,Emily,,
,6/14,9:00 PM,4,F,,90%,Y,Y,N,Ryan,,
,6/14,7:00 PM,6,F,,80%,Y,Y,Y,Ryan,,
,6/14,5:00 PM,4,F,,75%,Y,Y,Y,Emily/Ryan,,
,6/14,1:00 PM,8,W,59,100%,Y,Y,Y,Emily,,
,6/8,9:00 PM,6,W,52,100%,Y,Y,Y,Emily,,
,6/8,7:00 PM,8,F,,90%,Y,Y,Y,Emily,,
,6/8,5:00 PM,9,W,57,100%,Y,Y,Y,Emily,,
,6/7,9:00 PM,4,F,,70%,Y,Y,Y,Jack,,
,6/7,7:00 PM,11,F,,80%,Y,Y,Y,Jack,,
,6/7,3:00 PM,6,F,,99%,Y,Y,Y,Jack,,
,6/1,5:00 PM,9,W,58,100%,Y,Y,Y,Jack,,
,5/30,7,4,F,,90,y,y,n,Nate,,
,5/30,3:00 PM,11,W,57,100%,Y,Y,Y,Beri,,
,5/26,7:00 PM,8,W,48,100%,Y,Y,Y,Cordelia,,
,5/26,5:00 PM,9,F,,90%,Y,Y,Y,Cordelia,,
,5/26,3:00 PM,4,F,,85%,Y,Y,Y,Emily,,
,5/29,1:00 PM,6,F,,80%,Y,Y,Y,Emily,,
,5/29,11:00 AM,12,W,44,100%,Y,Y,Y,Emily,,
,5/25,9:00 PM,10,F,,95%,Y,Y,Y,Jack,,
,5/25,7:00 PM,6,W,55,100%,Y,Y,Y,Jack,,
,5/25,5:00 PM,6,W,57,100%,Y,Y,Y,Jack,,
,5/24,1,8,F,,90,y,y,n,nate,,
,5/21,8:00 PM,10,W,43,100%,Y,Y,Y,Jack,,
,5/18,7:00 PM,4,F,,90%,Y,Y,Y,Emily,,
,5/17,9:00 PM,6,F,,50%,Y,Y,Y,Jack,,
,5/17,7:00 PM,6,F,,80%,Y,Y,Y,Jack,,
,5/17,5:00 PM,3,F,,70%,Y,Y,Y,Nathan/Jack,,
,5/15,2:00 PM,8,W,50,100,Y,Y,Y,Cordelia,,
,5/12,5:00 PM,6,W,35,100,Y,Y,Y,Cordelia,,
,5/12,1:00 PM,7,W,59,100,Y,Y,Y,Emily,,
,5/11,9:00 PM,4,F,,90,Y,,Y,Emily,,
,5/10,3:00 PM,5,F,,75,Y,Y,Y,Cordelia,,
,5/10,1:00 PM,7,W,60,100,Y,Y,Y,Cordelia,,
,5/9,1,12,F,,95,Y,Y,Y,Nate,,
