,Date Played,Start Time,Players,Win/Fail,Win Time,Completion,Happy,May give 5 star review,Picture,Game master,Notes,
,8/3/2019,3:00 PM,12,F,,80,Y,Y,Y,Jack,,
,8/3/2019,11:00 AM,4,F,,70,Y,Y,Y,Jack,,
,8/2/2019,9:00 PM,4,F,,90,Y,Y,N,,,
,8/2/2019,7:00 PM,5,F,,85,Y,Y,N,Beri,,
,7/30/2019,7:00 PM,5,F,,90,Y,Y,N,Mat,,
,7/29/2019,5:00 PM,7,F,,90,Y,Y,Y,Cordelia/Mat,,
,7/28/2019,1:00 PM,6,W,58,100,Y,Y,Y,Mat,,
,7/27/2019,7:00 PM,5,W,55,100,Y,Y,Y,Mat,,
,7/27/2019,5:00 PM,12,F,,90,Y,Y,N,Mat,Picture on phone,
,7/27/2019,3:00 PM,4,F,,70,Y,Y,Y,Jack,,
,7/26/2019,5:00 PM,3,F,,50,Y,Y,Y,Nate/Mat,,
,7/25/2019,2:00 PM,2,F,,40,Y,Y,N,,,
,7/24/2019,7:00 PM,2,F,,80,Y,Y,Y,Jack,,
,7/21/2019,9:00 PM,8,W,45,100,Y,Y,Y,Jack,,
,7/21/2019,3:00 PM,4,F,,65,Y,Y,Y,Cordelia,,
,7/21/2019,11:00 AM,12,W,46,100,Y,Y,Y,Cordelia,,
,7/20/2019,9:00 PM,8,F,,99,Y,Y,N,Jack,picture on their phone,
,7/20/2019,7:00 PM,8,F,,70,Y,Y,Y,Jack,,
,7/20/2019,5:00 PM,4,F,,80,Y,Y,N,Jack/Mat,picture on their phone,
,7/20/2019,3:00 PM,9,F,,85,Y,Y,Y,Cordelia/Mat,,
,7/19/2019,1,4,F,,50,Y,Y,N,Nate,,
,7/17/2019,1:00 PM,9,W,,100,Y,Y,Y,Beri,,
,7/14/2019,7:00 PM,7,F,,90,Y,Y,Y,Cordelia,,
,7/14/2019,1:00 PM,5,W,59,100,Y,Y,N,Beri,,
,7/13/2019,9:00 PM,4,F,,80,Y,Y,N,Jack,,
,7/13/2019,7:00 PM,10,F,,70,Y,Y,Y,Jack,,
,7/13/2019,5:00 PM,11,F,,95,Y,Y,Y,Jack,,
,7/11/2019,5:00 PM,7,W,57,100,Y,Y,Y,Jack/Beri,,
,7/7/2019,9:00 PM,4,F,,90,Y,Y,Y,Emily,,
,7/7/2019,4:00 PM,2,F,,80,Y,Y,Y,Emily/Jack,,
,7/7/2019,11:00 AM,6,F,,80,Y,Y,Y,Emily,,
,7/6/2019,11:00 AM,9,F,,80,Y,Y,Y,Jack,,
,7/5/2019,5:00 PM,2,F,,85,Y,Y,Y,Cordelia/Emily,,
,6/30/2019,9:00 PM,6,F,,90,Y,Y,Y,Jack,,
,6/28/2019,7:00 PM,2,F,,60,Y,Y,Y,Emily,They Want to come back With a bigger group,
,6/26/2019,9:00 PM,8,W,54,100,Y,Y,Y,Emily,,
,6/26/2019,5:00 PM,12,W,42,100,Y,Y,Y,Emily,,
,6/26/2019,1:00 PM,12,W,37,100,y,y,y,Nate,,
,6/25/2019,1:00 PM,9,W,58,100,Y,Y,Y,Jack,,
,6/23/2019,7:00 PM,8,W,54,100,Y,Y,Y,Jack,,
,6/22/2019,9:00 PM,12,W,39,100,Y,Y,N,,,
,6/22/2019,3:00 PM,5,W,16,100,Y,Y,Y,Emily/Jack,,
,6/22/2019,1:00 PM,7,F,,99,Y,Y,Y,Emily/Jack,,
,6/21/2019,7:00 PM,11,W,57,100,Y,Y,Y,Emily,,
,6/19/2019,7:00 PM,5,W,50,100,Y,Y,Y,Emily, ,
,6/18/2019,9:00 PM,6,W,59,100,Y,Y,Y,Jack,,
,6/18/2019,7:00 PM,5,W,52,100,Y,Y,Y,Jack,,
,6/18/2019,2:30 PM,6,W,59,100,Y,Y,Y,,,
,6/16/2019,3:00 PM,4,W,59,100,Y,Y,Y,Emily,,
,6/15/2019,7:00 PM,3,F,,75,Y,Y,Y,Emily,,
,6/15/2019,3:00 PM,6,F,,95,Y,Y,Y,Emily,,
,6/14/2019,9:00 PM,4,F,,90,Y,Y,N,Ryan,,
,6/14/2019,7:00 PM,9,W,51,100,Y,Y,Y,Ryan,,
,6/14/2019,5:00 PM,2,F,,80,Y,Y,N,Emily/Ryan,,
,6/11/2019,7:00 PM,12,W,55,100,Y,Y,N,Jack,,
,6/11/2019,3:00 PM,2,F,,75,Y,Y,Y,Cordelia,,
,6/9/2019,1:00 PM,5,F,,65,Y,Y,Y,Cordelia,,
,6/8/2019,9:00 PM,4,F,,75,Y,Y,Y,Emily,,
,6/8/2019,5:00 PM,4,F,,80,Y,Y,Y,Emily,,
,6/8/2019,3:00 PM,7,F,,50,Y,Y,Y,Jack,,
,6/7/2019,7:00 PM,8,F,,80,Y,Y,Y,Jack,,
,6/7/2019,3:00 PM,4,F,,50,M,M,Y,Jack,,
,6/4/2019,7:00 PM,4,F,,90,Y,Y,N,Beri,,
,6/2/2019,3:00 PM,5,W,55,100,Y,Y,Y,Cordelia,,
,6/1/2019,9:00 PM,5,W,52,100,Y,Y,Y,Jack,,
,6/1/2019,5:00 PM,3,F,,40,Y,Y,Y,Jack,,
,5/26/2019,5:00 PM,5,F,,85,Y,Y,Y,Cordelia,,
,5/26/2019,3:00 PM,4,W,59,100,Y,Y,Y,Emily,,
,5/26/2019,1:00 PM,4,F,,85,Y,Y,Y,Emily,,
,5/25/2019,9:00 PM,2,F,,40,Y,Y,Y,Jack,,
,5/25/2019,7:00 PM,9,W,56,100,Y,Y,Y,Jack,,
,5/25/2019,5:00 PM,10,F,,95,Y,Y,Y,Jack,,
,5/25/2019,1:00 PM,4,F,,80,Y,Y,Y,Cordelia,,
,5/24/2019,1,9,F,,80,Y,Y,N,Nate,,
,5/21/2019,7:00,10,F,,90,Y,Y,Y,Jack,,
,5/19/2019,19:00,4,F,,30,Y,Y,N,Beri,,
,5/19/2019,17:00,12,F,,99,Y,Y,N,Beri,,
,5/18/2019,13:00,8,W,54,100,Y,Y,Y,Emily,,
,5/18/2019,11:00,5,F,,85,Y,Y,Y,Emily,,
,5/18/2019,19:00,4,F,,70,Y,Y,Y,Emily,,
,5/18/2019,17:00,8,W,55,100,Y,Y,Y,Emily,,
,5/18/2019,1:00,5,W,50,100,Y,Y,Y,Jack,,
,5/15/2019,2:00,7,W,60,100,Y,Y,Y,Cordelia,,
,5/12/2019,7:30,6,F,,90,Y,Y,Y,Cordelia,,
,5/12/2019,6:00,4,F,,80,Y,Y,Y,Cordelia,,
,5/11/2019,21:00,7,F,,70,Y,Y,Y,Emily,,
,5/11/2019,19:00,8,W,59,100,Y,Y,Y,Emily,,
,5/11/2019,17:00,10,F,,80,Y,Y,Y,Emily,,
,5/11/2019,1:00,2,F,,80,Y,Y,Y,Jack,,
,5/11/2019,11:00,5,F,,80,Y,Y,Y,Jack,,
,5/10/2019,5:00,5,W,47,100,Y,Y,Y,Cordelia/Jack,,
,5/8/2019,1:00,7,F,,80,Y,Y,Y,Cordelia,,
,5/7/2019,20:00,,,,,,,,,,
,5/7/2019,18:00,7,W,59,100,Y,Y,Y,Emily,,
,5/7/2019,15:00,8,F,,90,Y,Y,N,Nate,,
,5/4/2019,19:00,8,F,,85,Y,Y,Y,Emily,,
,5/3/2019,7:00,8,F,,95,Y,Y,Y,Jack,,
,5/2/2019,9:00,4,F,,50,Y,Y,Y,Jack,,
,5/2/2019,15:00,10,W,50,100,Y,Y,Y,Beri,,
,5/1/2019,21:00,8,W,57,100,Y,Y,N,Beri,,
,4/28/2019,5:00,5,W,55,100,Y,Y,Y,Cordelia,,
,4/27/2019,19:00,4,F,,80,Y,Y,Y,Emily,,
,4/27/2019,17:00,7,F,,70,Y,Y,N,Emily,,
,4/27/2019,3:00,13,W,53,100,Y,Y,Y,Jack,,
,4/26/2019,5:00,3,F,,40,Y,Y,Y,Jack,,
,4/26/2019,1:00,11,W,56,100,Y,Y,Y,Cordelia,,
,4/21/2019,3:00,5,W,52,100,Y,Y,Y,Cordelia,,
,4/20/2019,9:00,3,F,,65,Y,Y,Y,Cordelia,,
,4/20/2019,4:00,2,F,,55,y,y,y,Jack/Cordelia,,
